Log,LoggingLevel,Method
Cannot determine the size of the physical memory for FreeBSD host (using \'sysctl hw.physmem\').,error,<org.apache.flink.runtime.util.Hardware: long getSizeOfPhysicalMemoryForFreeBSD()>
Cannot determine the size of the physical memory for FreeBSD host (using \'sysctl hw.physmem\'),error,<org.apache.flink.runtime.util.Hardware: long getSizeOfPhysicalMemoryForFreeBSD()>
Initial resource allocation timeout triggered: Creating ExecutionGraph with available resources.,debug,<org.apache.flink.runtime.scheduler.adaptive.WaitingForResources: void resourceTimeout()>
Error while shutting down an iterative operator.,error,<org.apache.flink.runtime.iterative.task.AbstractIterativeTask: void closeLocalStrategiesAndCaches()>
Error while shutting down an iterative operator.,error,<org.apache.flink.runtime.iterative.task.AbstractIterativeTask: void closeLocalStrategiesAndCaches()>
"The configuration option <*> required for local execution is not set, setting it to <*>.",info,"<org.apache.flink.runtime.taskexecutor.TaskExecutorResourceUtils: void setConfigOptionToDefaultIfNotSet(org.apache.flink.configuration.Configuration,org.apache.flink.configuration.ConfigOption,java.lang.Object,java.lang.String)>"
Closing <*>.,info,<org.apache.flink.runtime.leaderretrieval.ZooKeeperLeaderRetrievalDriver: void close()>
Initialized <*> in \'<*>\' with <*>.,info,"<org.apache.flink.runtime.util.ZooKeeperUtils: org.apache.flink.runtime.checkpoint.CompletedCheckpointStore createCompletedCheckpoints(org.apache.flink.shaded.curator5.org.apache.curator.framework.CuratorFramework,org.apache.flink.configuration.Configuration,int,org.apache.flink.runtime.state.SharedStateRegistryFactory,java.util.concurrent.Executor,java.util.concurrent.Executor,org.apache.flink.runtime.jobgraph.RestoreMode)>"
Failed to notify job graph listener onAddedJobGraph event for <*>,error,<org.apache.flink.runtime.jobmanager.DefaultJobGraphStore: void onAddedJobGraph(org.apache.flink.api.common.JobID)>
"<*>,  No retries left., ",error,"<org.apache.flink.runtime.blob.BlobServer: org.apache.flink.runtime.blob.BlobKey moveTempFileToStore(java.io.File,org.apache.flink.api.common.JobID,byte[],org.apache.flink.runtime.blob.BlobKey$BlobType)>"
"Trying to find a unique key for BLOB of job <*> (retry <*>, last tried <*>)",debug,"<org.apache.flink.runtime.blob.BlobServer: org.apache.flink.runtime.blob.BlobKey moveTempFileToStore(java.io.File,org.apache.flink.api.common.JobID,byte[],org.apache.flink.runtime.blob.BlobKey$BlobType)>"
Successful registration at resource manager <*> under registration id <*>.,info,<org.apache.flink.runtime.taskexecutor.TaskExecutorToResourceManagerConnection: void onRegistrationSuccess(org.apache.flink.runtime.taskexecutor.TaskExecutorRegistrationSuccess)>
Register slots <*> from TaskManager <*>.,debug,"<org.apache.flink.runtime.jobmaster.slotpool.DefaultDeclarativeSlotPool: void registerSlots(java.util.Collection,org.apache.flink.runtime.taskmanager.TaskManagerLocation,org.apache.flink.runtime.jobmanager.slots.TaskManagerGateway,long)>"
"<*>\'s leader retrieval listener reported a new leader for job <*>. However, the service is no longer running.",debug,"<org.apache.flink.runtime.taskexecutor.DefaultJobLeaderService$JobManagerLeaderListener: void notifyLeaderAddress(java.lang.String,java.util.UUID)>"
"New leader information for job <*>. Address: <*>, leader id: <*>.",debug,"<org.apache.flink.runtime.taskexecutor.DefaultJobLeaderService$JobManagerLeaderListener: void notifyLeaderAddress(java.lang.String,java.util.UUID)>"
Ongoing attempt to connect to leader of job <*>. Ignoring duplicate leader information.,debug,"<org.apache.flink.runtime.taskexecutor.DefaultJobLeaderService$JobManagerLeaderListener: void notifyLeaderAddress(java.lang.String,java.util.UUID)>"
