Log,LoggingLevel,Method
Token cancel failed:  <*> ,debug,<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: void close()>
Using UGI token:  <*> ,debug,<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: org.apache.hadoop.security.token.Token getDelegationToken()>
Fetched new token:  <*> ,debug,<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: org.apache.hadoop.security.token.Token getDelegationToken()>
url= <*> ,trace,"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: java.net.URL toUrl(org.apache.hadoop.hdfs.web.resources.HttpOpParam$Op,org.apache.hadoop.fs.Path,org.apache.hadoop.hdfs.web.resources.Param[])>"
url= <*> ,trace,"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: java.net.URL getNamenodeURL(java.lang.String,java.lang.String)>"
Replaced expired token:  <*> ,debug,<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: boolean replaceExpiredDelegationToken()>
"Retrying connect to namenode:  <*> . Already tried  retry  time(s); retry policy is  <*> , delay  <*> ms. ",info,"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem$AbstractRunner: void shouldRetry(java.io.IOException,int)>"
Original exception is ,warn,"<org.apache.hadoop.hdfs.web.WebHdfsFileSystem$AbstractRunner: void shouldRetry(java.io.IOException,int)>"
Cannot load customized ssl related configuration. Fallback to system-generic settings.,debug,<org.apache.hadoop.hdfs.web.URLConnectionFactory: org.apache.hadoop.hdfs.web.URLConnectionFactory newDefaultURLConnectionFactory(org.apache.hadoop.conf.Configuration)>
open AuthenticatedURL connection url ,debug,"<org.apache.hadoop.hdfs.web.URLConnectionFactory: java.net.URLConnection openConnection(java.net.URL,boolean)>"
open URL connection,debug,"<org.apache.hadoop.hdfs.web.URLConnectionFactory: java.net.URLConnection openConnection(java.net.URL,boolean)>"
Found existing DT for  <*> ,debug,<org.apache.hadoop.hdfs.web.TokenAspect: void initDelegationToken(org.apache.hadoop.security.UserGroupInformation)>
Created new DT for  <*> ,debug,<org.apache.hadoop.hdfs.web.TokenAspect: void ensureTokenInitialized()>
GOT EXCEPITION,trace,<org.apache.hadoop.hdfs.web.resources.ExceptionHandler: javax.ws.rs.core.Response toResponse(java.lang.Exception)>
