Log,LoggingLevel,Method
"pushMetric failed for , <*>",info,<org.apache.hadoop.metrics.util.MetricsTimeVaryingLong: void pushMetric(org.apache.hadoop.metrics.MetricsRecord)>
"SpanReceiver , <*>,  was loaded successfully., ",info,<org.apache.hadoop.tracing.SpanReceiverHost: void loadSpanReceivers(org.apache.hadoop.conf.Configuration)>
Failed to load SpanReceiver,error,<org.apache.hadoop.tracing.SpanReceiverHost: void loadSpanReceivers(org.apache.hadoop.conf.Configuration)>
Config has been overridden during init,debug,<org.apache.hadoop.service.AbstractService: void serviceInit(org.apache.hadoop.conf.Configuration)>
"flushing segment , segments_, ",debug,<org.apache.hadoop.io.SequenceFile$Sorter$SortPass: int run(boolean)>
"enqueue, logicalTime=, logicalTime, ",debug,"<org.apache.hadoop.metrics2.impl.MetricsSinkAdapter: boolean putMetrics(org.apache.hadoop.metrics2.impl.MetricsBuffer,long)>"
"nodePath,  znode already exists !!, ",debug,<org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager: void createPersistentNode(java.lang.String)>
Unable to determine address of the host-falling back to \localhost\ address,warn,<org.apache.hadoop.net.DNS: java.lang.String resolveLocalHostIPAddress()>
Unable to determine local loopback address of \localhost\ -this system\'s network configuration is unsupported,error,<org.apache.hadoop.net.DNS: java.lang.String resolveLocalHostIPAddress()>
"Unable to parse configuration fs.permissions.umask-mode with value , <*>,  as , <*>_,  umask., ",warn,<org.apache.hadoop.fs.permission.FsPermission: org.apache.hadoop.fs.permission.FsPermission getUMask(org.apache.hadoop.conf.Configuration)>
"dfs.umask configuration key is deprecated. Convert to fs.permissions.umask-mode, using octal or symbolic umask specifications.",warn,<org.apache.hadoop.fs.permission.FsPermission: org.apache.hadoop.fs.permission.FsPermission getUMask(org.apache.hadoop.conf.Configuration)>
Failed to confirm,debug,<org.apache.hadoop.ha.ZKFailoverController: boolean confirmFormat()>
"this, : NotificationHandler: doing a read on , <*>, ",trace,<org.apache.hadoop.net.unix.DomainSocketWatcher$NotificationHandler: boolean handle(org.apache.hadoop.net.unix.DomainSocket)>
"this, : NotificationHandler: got EOF on , <*>, ",trace,<org.apache.hadoop.net.unix.DomainSocketWatcher$NotificationHandler: boolean handle(org.apache.hadoop.net.unix.DomainSocket)>
"this, : NotificationHandler: read succeeded on , <*>, ",trace,<org.apache.hadoop.net.unix.DomainSocketWatcher$NotificationHandler: boolean handle(org.apache.hadoop.net.unix.DomainSocket)>
"this, : NotificationHandler: setting closed to , true for , <*>, ",trace,<org.apache.hadoop.net.unix.DomainSocketWatcher$NotificationHandler: boolean handle(org.apache.hadoop.net.unix.DomainSocket)>
"Requested by , <*>,  at , <*>,  to cede active role., ",info,<org.apache.hadoop.ha.ZKFailoverController: void doCedeActive(int)>
Successfully ensured local node is in standby mode,info,<org.apache.hadoop.ha.ZKFailoverController: void doCedeActive(int)>
"Unable to transition local node to standby: , <*>, ",warn,<org.apache.hadoop.ha.ZKFailoverController: void doCedeActive(int)>
Quitting election but indicating that fencing is necessary,warn,<org.apache.hadoop.ha.ZKFailoverController: void doCedeActive(int)>
"Connection: unable to set socket send buffer size to , <*>, ",warn,"<org.apache.hadoop.ipc.Server$Connection: void <init>(org.apache.hadoop.ipc.Server,java.nio.channels.SocketChannel,long)>"
hadoop logout,debug,<org.apache.hadoop.security.UserGroupInformation$HadoopLoginModule: boolean logout()>
"Local service , <*>,  entered state: , newState, ",info,<org.apache.hadoop.ha.ZKFailoverController: void setLastHealthState(org.apache.hadoop.ha.HealthMonitor$State)>
"Failed readahead on , <*>, ",warn,<org.apache.hadoop.io.ReadaheadPool$ReadaheadRequestImpl: void run()>
"Loaded IP list of size = , <*>,  from file = , fileName, ",debug,<org.apache.hadoop.util.FileBasedIPList: java.lang.String[] readLines(java.lang.String)>
"Missing ip list file : , fileName, ",debug,<org.apache.hadoop.util.FileBasedIPList: java.lang.String[] readLines(java.lang.String)>
"<*>,  is not writable\n, ",warn,<org.apache.hadoop.fs.LocalDirAllocator$AllocatorPerContext: void confChanged(org.apache.hadoop.conf.Configuration)>
"Failed to create , <*>, ",warn,<org.apache.hadoop.fs.LocalDirAllocator$AllocatorPerContext: void confChanged(org.apache.hadoop.conf.Configuration)>
"Failed to create , <*>, : , <*>, \n, ",warn,<org.apache.hadoop.fs.LocalDirAllocator$AllocatorPerContext: void confChanged(org.apache.hadoop.conf.Configuration)>
"MBean , <*>,  already initialized!, ",warn,<org.apache.hadoop.metrics2.impl.MetricsSourceAdapter: void startMBeans()>
Stacktrace: ,debug,<org.apache.hadoop.metrics2.impl.MetricsSourceAdapter: void startMBeans()>
"MBean for source , <*>,  registered., ",debug,<org.apache.hadoop.metrics2.impl.MetricsSourceAdapter: void startMBeans()>
 Creating new Groups object,debug,<org.apache.hadoop.security.Groups: org.apache.hadoop.security.Groups getUserToGroupsMappingService(org.apache.hadoop.conf.Configuration)>
"Exception while trying to password for alias , alias, : , <*>, ",warn,"<org.apache.hadoop.security.LdapGroupsMapping: java.lang.String getPassword(org.apache.hadoop.conf.Configuration,java.lang.String,java.lang.String)>"
"Initialized , <*>, ",debug,<org.apache.hadoop.ipc.metrics.RetryCacheMetrics: void <init>(org.apache.hadoop.ipc.RetryCache)>
"Successfully authorized , <*>, ",debug,<org.apache.hadoop.ipc.Server$Connection: void authorizeConnection()>
"Connection from , this,  for protocol , <*>,  is unauthorized for user , <*>, ",info,<org.apache.hadoop.ipc.Server$Connection: void authorizeConnection()>
"<*>,  metrics system timer already started!, ",warn,<org.apache.hadoop.metrics2.impl.MetricsSystemImpl: void startTimer()>
"Scheduled snapshot period at , <*>,  second(s)., ",info,<org.apache.hadoop.metrics2.impl.MetricsSystemImpl: void startTimer()>
"unknown metrics type: , <*>, ",error,<org.apache.hadoop.metrics.util.MetricsDynamicMBeanBase: void createMBeanInfo()>
Unable to get operating system page size.  Guessing .,warn,<org.apache.hadoop.io.nativeio.NativeIO: long getOperatingSystemPageSize()>
"name, :an attempt to override final parameter: , attr, ;  Ignoring., ",warn,"<org.apache.hadoop.conf.Configuration: void loadProperty(java.util.Properties,java.lang.String,java.lang.String,java.lang.String,boolean,java.lang.String[])>"
"Group mapping impl=, <*>, ; cacheTimeout=, <*>, ; warningDeltaMs=, <*>, ",debug,"<org.apache.hadoop.security.Groups: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.util.Timer)>"
"Exception in closing , c, ",debug,"<org.apache.hadoop.io.IOUtils: void cleanup(org.apache.commons.logging.Log,java.io.Closeable[])>"
clearing userToGroupsMap cache,info,<org.apache.hadoop.security.Groups: void refresh()>
Error refreshing groups cache,warn,<org.apache.hadoop.security.Groups: void refresh()>
"Initialized cache for UID to User mapping with a cache timeout of , <*>,  seconds., ",info,<org.apache.hadoop.io.nativeio.NativeIO: void ensureInitialized()>
"Returned a decompressor: , <*>, ",debug,<org.apache.hadoop.io.file.tfile.Compression$Algorithm: void returnDecompressor(org.apache.hadoop.io.compress.Decompressor)>
Error reading the error stream,warn,<org.apache.hadoop.util.Shell$1: void run()>
"Automatic failover is not enabled for , <*>, .,  Please ensure that automatic failover is enabled in the , configuration before running the ZK failover controller., ",fatal,<org.apache.hadoop.ha.ZKFailoverController: int run(java.lang.String[])>
"<*>, : initing services, size=, <*>, ",debug,<org.apache.hadoop.service.CompositeService: void serviceInit(org.apache.hadoop.conf.Configuration)>
"PrivilegedActionException as:, this,  cause:, <*>, ",debug,<org.apache.hadoop.security.UserGroupInformation: java.lang.Object doAs(java.security.PrivilegedExceptionAction)>
failure to login,debug,<org.apache.hadoop.security.UserGroupInformation: void loginUserFromSubject(javax.security.auth.Subject)>
failure to login,<init>,<org.apache.hadoop.security.UserGroupInformation: void loginUserFromSubject(javax.security.auth.Subject)>
"UGI loginUser:, <*>, ",debug,<org.apache.hadoop.security.UserGroupInformation: void loginUserFromSubject(javax.security.auth.Subject)>
"Unknown request source: , <*>, ",warn,<org.apache.hadoop.ha.protocolPB.HAServiceProtocolServerSideTranslatorPB: org.apache.hadoop.ha.HAServiceProtocol$StateChangeRequestInfo convert(org.apache.hadoop.ha.proto.HAServiceProtocolProtos$HAStateChangeRequestInfoProto)>
"<*>, : starting, ",debug,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>, : , call,  for RpcKind , <*>, ",debug,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>, : skipped , call, ",info,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>, : , e_, ",info,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>, , call , call, ",warn,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>, , call , call, ",info,<org.apache.hadoop.ipc.Server$Handler: void run()>
"Large response size , <*>,  for call , <*>, ",warn,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>,  unexpectedly interrupted, ",info,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>,  caught an exception, ",info,<org.apache.hadoop.ipc.Server$Handler: void run()>
"<*>, : exiting, ",debug,<org.apache.hadoop.ipc.Server$Handler: void run()>
running merge pass,debug,<org.apache.hadoop.io.SequenceFile$Sorter: int mergePass(org.apache.hadoop.fs.Path)>
"timeoutMillis, ms timeout elapsed waiting for an attempt , to become active, ",warn,<org.apache.hadoop.ha.ZKFailoverController: org.apache.hadoop.ha.ZKFailoverController$ActiveAttemptRecord waitForActiveAttempt(int)>
"<*>, : readAndProcess caught InterruptedException, ",info,<org.apache.hadoop.ipc.Server$Listener: void doRead(java.nio.channels.SelectionKey)>
"<*>, : readAndProcess from client , <*>,  threw exception , <*>, , ",info,<org.apache.hadoop.ipc.Server$Listener: void doRead(java.nio.channels.SelectionKey)>
"Trying to load Lzo codec class: , <*>_, ",info,<org.apache.hadoop.io.file.tfile.Compression$Algorithm$1: boolean isSupported()>
"<*>, : starting, ",info,<org.apache.hadoop.ipc.Server$Listener: void run()>
Out of Memory in server select,warn,<org.apache.hadoop.ipc.Server$Listener: void run()>
"Stopping , <*>, ",info,<org.apache.hadoop.ipc.Server$Listener: void run()>
"Unable to start failover controller. Unable to connect to ZooKeeper quorum at , <*>, . Please check the , configured value for , ha.zookeeper.quorum,  and ensure that , ZooKeeper is running., ",fatal,<org.apache.hadoop.ha.ZKFailoverController: int doRun(java.lang.String[])>
Unable to start failover controller. Parent znode does not exist.\nRun with -formatZK flag to initialize ZooKeeper.,fatal,<org.apache.hadoop.ha.ZKFailoverController: int doRun(java.lang.String[])>
"Fencing is not configured for , <*>, .\n, You must configure a fencing method before using automatic , failover., ",fatal,<org.apache.hadoop.ha.ZKFailoverController: int doRun(java.lang.String[])>
"Illegal progress value found, progress is Float.NaN. Progress will be changed to ",debug,<org.apache.hadoop.util.Progress: void set(float)>
"Illegal progress value found, progress is Float.NEGATIVE_INFINITY. Progress will be changed to ",debug,<org.apache.hadoop.util.Progress: void set(float)>
"Illegal progress value found, progress is less than . Progress will be changed to ",debug,<org.apache.hadoop.util.Progress: void set(float)>
"Illegal progress value found, progress is larger than . Progress will be changed to ",debug,<org.apache.hadoop.util.Progress: void set(float)>
"Illegal progress value found, progress is Float.POSITIVE_INFINITY. Progress will be changed to ",debug,<org.apache.hadoop.util.Progress: void set(float)>
"setting conf tokensFile: , <*>, ",debug,"<org.apache.hadoop.util.GenericOptionsParser: void processGeneralOptions(org.apache.hadoop.conf.Configuration,org.apache.commons.cli.CommandLine)>"
Aborted,fatal,<org.apache.hadoop.ha.HAAdmin: int runCmd(java.lang.String[])>
Unable to create SSH session,warn,"<org.apache.hadoop.ha.SshFenceByTcpPort: boolean tryFence(org.apache.hadoop.ha.HAServiceTarget,java.lang.String)>"
"Connecting to , <*>, ..., ",info,"<org.apache.hadoop.ha.SshFenceByTcpPort: boolean tryFence(org.apache.hadoop.ha.HAServiceTarget,java.lang.String)>"
"Unable to connect to , <*>,  as user , <*>, ",warn,"<org.apache.hadoop.ha.SshFenceByTcpPort: boolean tryFence(org.apache.hadoop.ha.HAServiceTarget,java.lang.String)>"
