Log,LoggingLevel,Method
Successfully produced messages to {} with base offset {}.,trace,"<org.apache.kafka.clients.producer.internals.ProducerBatch: boolean done(long,long,java.lang.RuntimeException,java.util.function.Function)>"
Failed to produce messages to {} with base offset {}.,trace,"<org.apache.kafka.clients.producer.internals.ProducerBatch: boolean done(long,long,java.lang.RuntimeException,java.util.function.Function)>"
ProduceResponse returned {} for {} after batch with base offset {} had already been {}.,debug,"<org.apache.kafka.clients.producer.internals.ProducerBatch: boolean done(long,long,java.lang.RuntimeException,java.util.function.Function)>"
Ignored state transition {} -> {} for {} batch with base offset {},debug,"<org.apache.kafka.clients.producer.internals.ProducerBatch: boolean done(long,long,java.lang.RuntimeException,java.util.function.Function)>"
Executing onJoinComplete with generation {} and memberId {},debug,"<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: void onJoinComplete(int,java.lang.String,java.lang.String,java.nio.ByteBuffer)>"
Updating assignment with\n\tAssigned partitions:                       {}\n\tCurrent owned partitions:                  {}\n\tAdded partitions (assigned - owned):       {}\n\tRevoked partitions (owned - assigned):     {}\n,info,"<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: void onJoinComplete(int,java.lang.String,java.lang.String,java.nio.ByteBuffer)>"
LOG_APPEND_TIME,<init>,<org.apache.kafka.common.record.TimestampType: void <clinit>()>
getClaim - {}: {},debug,"<org.apache.kafka.common.security.oauthbearer.secured.ValidatorAccessTokenValidator: java.lang.Object getClaim(org.apache.kafka.common.security.oauthbearer.secured.ValidatorAccessTokenValidator$ClaimSupplier,java.lang.String)>"
Joining group with current subscription: {},debug,<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: org.apache.kafka.common.message.JoinGroupRequestData$JoinGroupRequestProtocolCollection metadata()>
Received TxnOffsetCommit response for consumer group {}: {},debug,<org.apache.kafka.clients.producer.internals.TransactionManager$TxnOffsetCommitHandler: void handleResponse(org.apache.kafka.common.requests.AbstractResponse)>
Skipping fetching records for assigned partition {} because it is paused,debug,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetch collectFetch()>
Sending FindCoordinator request to broker {},debug,<org.apache.kafka.clients.consumer.internals.AbstractCoordinator: org.apache.kafka.clients.consumer.internals.RequestFuture sendFindCoordinatorRequest(org.apache.kafka.common.Node)>
Metrics scheduler closed,info,<org.apache.kafka.common.metrics.Metrics: void close()>
Closing reporter {},info,<org.apache.kafka.common.metrics.Metrics: void close()>
"Error when closing , <*>, ",error,<org.apache.kafka.common.metrics.Metrics: void close()>
Metrics reporters closed,info,<org.apache.kafka.common.metrics.Metrics: void close()>
"{} partitions have leader brokers without a matching listener, including {}",warn,"<org.apache.kafka.clients.NetworkClient$DefaultMetadataUpdater: void handleSuccessfulResponse(org.apache.kafka.common.requests.RequestHeader,long,org.apache.kafka.common.requests.MetadataResponse)>"
Error while fetching metadata with correlation id {} : {},warn,"<org.apache.kafka.clients.NetworkClient$DefaultMetadataUpdater: void handleSuccessfulResponse(org.apache.kafka.common.requests.RequestHeader,long,org.apache.kafka.common.requests.MetadataResponse)>"
Ignoring empty metadata response with correlation id {}.,trace,"<org.apache.kafka.clients.NetworkClient$DefaultMetadataUpdater: void handleSuccessfulResponse(org.apache.kafka.common.requests.RequestHeader,long,org.apache.kafka.common.requests.MetadataResponse)>"
Found expiring credential with principal \'{}\'.,debug,<org.apache.kafka.common.security.oauthbearer.internals.OAuthBearerRefreshingLogin$1: org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredential expiringCredential()>
close started,debug,<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwksVerificationKeyResolver: void close()>
close completed,debug,<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwksVerificationKeyResolver: void close()>
close completed,debug,<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwksVerificationKeyResolver: void close()>
"Coordinator discovery failed, refreshing metadata",debug,<org.apache.kafka.clients.consumer.internals.AbstractCoordinator: boolean ensureCoordinatorReady(org.apache.kafka.common.utils.Timer)>
FindCoordinator request hit fatal exception,info,<org.apache.kafka.clients.consumer.internals.AbstractCoordinator: boolean ensureCoordinatorReady(org.apache.kafka.common.utils.Timer)>
\'logDir\' field is too long to be serialized,<init>,"<org.apache.kafka.common.message.DescribeLogDirsResponseData$DescribeLogDirsResult: void addSize(org.apache.kafka.common.protocol.MessageSizeAccumulator,org.apache.kafka.common.protocol.ObjectSerializationCache,short)>"
parseAccessToken - responseBody: {},debug,<org.apache.kafka.common.security.oauthbearer.secured.HttpAccessTokenRetriever: java.lang.String parseAccessToken(java.lang.String)>
Partition {} keeps lastOffset at {},trace,"<org.apache.kafka.clients.producer.internals.TransactionManager: void updateLastAckedOffset(org.apache.kafka.common.requests.ProduceResponse$PartitionResponse,org.apache.kafka.clients.producer.internals.ProducerBatch)>"
Successfully added partition for consumer group {} to transaction,debug,<org.apache.kafka.clients.producer.internals.TransactionManager$AddOffsetsToTxnHandler: void handleResponse(org.apache.kafka.common.requests.AbstractResponse)>
Broker no longer low on memory - unmuting incoming sockets,trace,<org.apache.kafka.common.network.Selector: void poll(long)>
{}: entering performPendingMetricsOperations,trace,<org.apache.kafka.common.metrics.internals.IntGaugeSuite: void performPendingMetricsOperations()>
{}: removing metric {},trace,<org.apache.kafka.common.metrics.internals.IntGaugeSuite: void performPendingMetricsOperations()>
{}: adding metric {},trace,<org.apache.kafka.common.metrics.internals.IntGaugeSuite: void performPendingMetricsOperations()>
{}: leaving performPendingMetricsOperations,trace,<org.apache.kafka.common.metrics.internals.IntGaugeSuite: void performPendingMetricsOperations()>
Polling for fetches with timeout {},trace,<org.apache.kafka.clients.consumer.KafkaConsumer: org.apache.kafka.clients.consumer.internals.Fetch pollForFetches(org.apache.kafka.common.utils.Timer)>
Committing offsets: {},debug,"<org.apache.kafka.clients.consumer.KafkaConsumer: void commitAsync(java.util.Map,org.apache.kafka.clients.consumer.OffsetCommitCallback)>"
message,warn,"<org.apache.kafka.common.utils.LogContext$LocationIgnorantKafkaLogger: void warn(java.lang.String,java.lang.Object)>"
"Unsupported extensions will be ignored, supported {}, provided {}",debug,<org.apache.kafka.common.security.scram.internals.ScramSaslServer: byte[] evaluateResponse(byte[])>
Notifying assignor about the new {},info,"<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: java.lang.Exception invokeOnAssignment(org.apache.kafka.clients.consumer.ConsumerPartitionAssignor,org.apache.kafka.clients.consumer.ConsumerPartitionAssignor$Assignment)>"
Updating last stable offset for partition {} to {},trace,<org.apache.kafka.clients.consumer.internals.Fetcher$2: void onSuccess(org.apache.kafka.clients.consumer.internals.Fetcher$ListOffsetResult)>
Updating high watermark for partition {} to {},trace,<org.apache.kafka.clients.consumer.internals.Fetcher$2: void onSuccess(org.apache.kafka.clients.consumer.internals.Fetcher$ListOffsetResult)>
init started,debug,<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwks: void init()>
JWKS validation key refresh thread started with a refresh interval of {} ms,info,<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwks: void init()>
init completed,debug,<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwks: void init()>
init completed,debug,<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwks: void init()>
Client supplied realm: {} ,trace,<org.apache.kafka.common.security.authenticator.SaslServerCallbackHandler: void handleRealmCallback(javax.security.sasl.RealmCallback)>
Failed to create channel due to ,info,"<org.apache.kafka.common.network.SslChannelBuilder: org.apache.kafka.common.network.KafkaChannel buildChannel(java.lang.String,java.nio.channels.SelectionKey,int,org.apache.kafka.common.memory.MemoryPool,org.apache.kafka.common.network.ChannelMetadataRegistry)>"
Ignoring fetched records for partition {} since it no longer has valid position,debug,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Discarding stale fetch response for partition {} since its offset {} does not match the expected offset {},debug,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Preparing to read {} bytes of data for partition {} with offset {},trace,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Updating high watermark for partition {} to {},trace,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Updating log start offset for partition {} to {},trace,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Updating last stable offset for partition {} to {},trace,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Error in fetch for partition {}: {},debug,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Received unknown topic or partition error in fetch for partition {},warn,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Received unknown topic ID error in fetch for partition {},warn,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Received inconsistent topic ID error in fetch for partition {},warn,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Discarding stale fetch response for partition {} since the fetched offset {} does not match the current offset {},debug,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Unset the preferred read replica {} for partition {} since we got {} when fetching {},debug,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Not authorized to read from partition {}.,warn,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Received unknown leader epoch error in fetch for partition {},debug,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
Unknown server error while fetching offset {} for topic-partition {},warn,<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch initializeCompletedFetch(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch)>
