Log,LoggingLevel,Method
Starting pacemaker server for storm version \'<*>,info,<org.apache.storm.pacemaker.Pacemaker: org.apache.storm.pacemaker.PacemakerServer launchServer()>
Get topology exception. (topology id=\'<*>\'),warn,<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.StormTopology getTopology(java.lang.String)>
Supervisor <*> has been blacklisted more than resume period. Removed from blacklist.,info,<org.apache.storm.scheduler.blacklist.strategies.DefaultBlacklistStrategy: void resumeFromBlacklist()>
topology.ras.acker.executors.per.worker,put,"<org.apache.storm.daemon.nimbus.Nimbus: void setUpAckerExecutorConfigs(java.lang.String,java.util.Map,java.util.Map,int)>"
topology.acker.executors,put,"<org.apache.storm.daemon.nimbus.Nimbus: void setUpAckerExecutorConfigs(java.lang.String,java.util.Map,java.util.Map,int)>"
Config <*> set to: <*> for topology: <*>,info,"<org.apache.storm.daemon.nimbus.Nimbus: void setUpAckerExecutorConfigs(java.lang.String,java.util.Map,java.util.Map,int)>"
Config <*> set to: <*> for topology: <*>,info,"<org.apache.storm.daemon.nimbus.Nimbus: void setUpAckerExecutorConfigs(java.lang.String,java.util.Map,java.util.Map,int)>"
Preparing...,debug,"<org.apache.storm.daemon.metrics.reporters.ConsolePreparableReporter: void prepare(com.codahale.metrics.MetricRegistry,java.util.Map)>"
Reading tracked metrics for ID <*>,warn,"<org.apache.storm.Testing: int globalAmt(java.lang.String,java.lang.String)>"
Get topo page info exception. (topology id=\'<*>\'),warn,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.TopologyPageInfo getTopologyPageInfo(java.lang.String,java.lang.String,boolean)>"
Scheduling updateBlobs every <*> seconds,debug,<org.apache.storm.localizer.AsyncLocalizer: void start()>
Scheduling cleanup every <*> millis,debug,<org.apache.storm.localizer.AsyncLocalizer: void start()>
SLOT <*>: Assignment Changed from <*> to <*>,info,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
SLOT <*>: main process has exited for topology: <*>,warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
SLOT <*>: violated memory limits for topology: <*>,warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
SLOT <*>: HB returned as null for topology: <*>,warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
SLOT <*>: HB is too old <*> > <*> for topology: <*>,warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
Dropping <*> wrong topology is running,warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
Stopped <*> action finished,debug,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
"Stopping <*> failed, will be retried",warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
Still pending <*> now: <*>,debug,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
Started <*> now: <*>,debug,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
"Starting <*> failed, will be retried",warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
Started <*> action finished,debug,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
"Starting <*> failed, will be retried",warn,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState handleRunning(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
Cleaning up temporary data in <*>,debug,<org.apache.storm.localizer.LocallyCachedTopologyBlob: void cleanUpTemp(java.lang.String)>
Cleaning up <*>,debug,<org.apache.storm.localizer.LocallyCachedTopologyBlob: void cleanUpTemp(java.lang.String)>
"Setting blob permissions, command: <*>",debug,"<org.apache.storm.localizer.LocalizedResource: void setBlobPermissions(java.util.Map,java.lang.String,java.nio.file.Path)>"
output: <*>,debug,"<org.apache.storm.localizer.LocalizedResource: void setBlobPermissions(java.util.Map,java.lang.String,java.nio.file.Path)>"
Exit code from worker-launcher is: <*>,warn,"<org.apache.storm.localizer.LocalizedResource: void setBlobPermissions(java.util.Map,java.lang.String,java.nio.file.Path)>"
output: <*>,debug,"<org.apache.storm.localizer.LocalizedResource: void setBlobPermissions(java.util.Map,java.lang.String,java.nio.file.Path)>"
"Worker slot , ws,  can\'t be assigned to , topId, . Its already assigned to , <*>, ., ",warn,"<org.apache.storm.scheduler.multitenant.Node: boolean assignInternal(org.apache.storm.scheduler.WorkerSlot,java.lang.String,boolean)>"
"Adding Worker slot , ws,  that was not reported in the supervisor heartbeats, but the worker is already running for topology , topId, ., ",warn,"<org.apache.storm.scheduler.multitenant.Node: boolean assignInternal(org.apache.storm.scheduler.WorkerSlot,java.lang.String,boolean)>"
Failed to get topology details,error,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.daemon.nimbus.TopologyResources getResourcesForTopology(java.lang.String,org.apache.storm.generated.StormBase)>"
Adding in Topology <*>,debug,<org.apache.storm.scheduler.multitenant.DefaultPool: void addTopology(org.apache.storm.scheduler.TopologyDetails)>
Starting supervisor for storm version \'<*>\'.,info,<org.apache.storm.daemon.supervisor.Supervisor: void launchDaemon()>
Failed to start supervisor\n,error,<org.apache.storm.daemon.supervisor.Supervisor: void launchDaemon()>
Tried to remove <*> but failed with,warn,"<org.apache.storm.localizer.LocalizedResourceRetentionSet: boolean removeBlob(org.apache.storm.localizer.LocallyCachedBlob,java.util.Map)>"
currentTimeSecs: <*>; lastReturnedTime <*>; artifactoryPollTimeSecs: <*>. Returning our last map.,debug,<org.apache.storm.scheduler.utils.ArtifactoryConfigLoader: java.util.Map load(java.lang.String)>
Failed to load from uri <*>,error,<org.apache.storm.scheduler.utils.ArtifactoryConfigLoader: java.util.Map load(java.lang.String)>
Sorted Object Resources: <*>,debug,"<org.apache.storm.scheduler.resource.strategies.scheduling.sorter.NodeSorter: java.util.List sortObjectResourcesGeneric(org.apache.storm.scheduler.resource.strategies.scheduling.ObjectResourcesSummary,org.apache.storm.scheduler.ExecutorDetails,org.apache.storm.scheduler.resource.strategies.scheduling.sorter.NodeSorter$ExistingScheduleFunc)>"
<*> is not an absolute path. Changing it to be absolute: <*>,warn,<org.apache.storm.container.oci.OciContainerManager: void prepare(java.util.Map)>
Created state in zookeeper <*> <*> <*>,debug,<org.apache.storm.daemon.nimbus.Nimbus: void createStateInZookeeper(java.lang.String)>
"Exception while creating state in zookeeper - key: , key, ",warn,<org.apache.storm.daemon.nimbus.Nimbus: void createStateInZookeeper(java.lang.String)>
Creating symlinks for worker-id: <*> storm-id: <*> for files(<*>): <*>,info,<org.apache.storm.daemon.supervisor.Container: void createBlobstoreLinks()>
Topology jar for worker-id: <*> storm-id: <*> does not contain re sources directory <*>.,info,<org.apache.storm.daemon.supervisor.Container: void createBlobstoreLinks()>
"Symlinks are disabled, no symlinks created for blobs <*>",warn,<org.apache.storm.daemon.supervisor.Container: void createBlobstoreLinks()>
received message. Passing to handler. <*> : <*> : <*>,debug,"<org.apache.storm.pacemaker.PacemakerServer: void received(java.lang.Object,java.lang.String,org.apache.storm.shade.io.netty.channel.Channel)>"
Got Response from handler: <*>,debug,"<org.apache.storm.pacemaker.PacemakerServer: void received(java.lang.Object,java.lang.String,org.apache.storm.shade.io.netty.channel.Channel)>"
Got null response from handler handling message: <*>,info,"<org.apache.storm.pacemaker.PacemakerServer: void received(java.lang.Object,java.lang.String,org.apache.storm.shade.io.netty.channel.Channel)>"
"Unable to isolate topologies , <*>, . No machine had enough worker slots to run the remaining workers for these topologies. Clearing all other resources and will wait for enough resources for isolated topologies before allocating any other resources., ",warn,"<org.apache.storm.scheduler.IsolationScheduler: void schedule(org.apache.storm.scheduler.Topologies,org.apache.storm.scheduler.Cluster)>"
CMD: tasklist /fo list /fi \pid eq <*>\ /v,debug,"<org.apache.storm.utils.ServerUtils: boolean isWindowsProcessAlive(long,java.lang.String)>"
CMD=LINE#<*>: <*>,debug,"<org.apache.storm.utils.ServerUtils: boolean isWindowsProcessAlive(long,java.lang.String)>"
"Found <*> running as <*>, but expected it to be <*>",info,"<org.apache.storm.utils.ServerUtils: boolean isWindowsProcessAlive(long,java.lang.String)>"
Received unexpected output from tasklist command. Expected one colon in user name line. Line was <*>,error,"<org.apache.storm.utils.ServerUtils: boolean isWindowsProcessAlive(long,java.lang.String)>"
"<*> is up to date, blob localUpdateTime matches remote timestamp <*>",debug,"<org.apache.storm.localizer.LocallyCachedBlob: boolean requiresUpdate(org.apache.storm.blobstore.ClientBlobStore,long)>"
"Could not delete , <*>,  will try again later, ",warn,<org.apache.storm.blobstore.FileBlobStoreImpl: void fullCleanup(long)>
oci resource localizer is: <*>,info,<org.apache.storm.container.oci.RuncLibContainerManager: org.apache.storm.container.oci.OciResourcesLocalizerInterface chooseOciResourcesLocalizer()>
Error when processing event,error,"<org.apache.storm.daemon.supervisor.DefaultUncaughtExceptionHandler: void uncaughtException(java.lang.Thread,java.lang.Throwable)>"
Delaying event <*> for <*> secs for <*>,info,"<org.apache.storm.daemon.nimbus.Nimbus: void delayEvent(java.lang.String,int,org.apache.storm.daemon.nimbus.TopologyActions,java.lang.Object)>"
Waiting for result <*> <*>,debug,"<org.apache.storm.daemon.drpc.DRPC: java.lang.String executeBlocking(java.lang.String,java.lang.String)>"
Ignoring exception from Topology action notifier for storm-Id <*>,warn,"<org.apache.storm.daemon.nimbus.Nimbus: void notifyTopologyActionListener(java.lang.String,java.lang.String)>"
STATUS - <*> <*>,info,"<org.apache.storm.scheduler.Cluster: void setStatus(java.lang.String,java.lang.String)>"
Failed to create parent directory <*>,error,<org.apache.storm.localizer.LocalizedResource: java.nio.file.Path lambda$fetchUnzipToTemp$4(java.lang.Long)>
Force Killing <*>:<*>,info,<org.apache.storm.daemon.supervisor.Container: void forceKill()>
"Sync blobs - blobstore keys <*>, zookeeper keys <*>",debug,<org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer: void syncBlobs()>
Key set Blobstore-> Zookeeper-> DownloadSet <*>-> <*>-> <*>,debug,<org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer: void syncBlobs()>
"syncBlobs, key: <*>, nimbusInfoSet: <*>",debug,<org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer: void syncBlobs()>
Detected deletion for the key <*> while downloading - skipping download,debug,<org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer: void syncBlobs()>
Interrupt Exception <*>,error,<org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer: void syncBlobs()>
"port unknown for workerId <*>, looking up from <*>",info,<org.apache.storm.container.oci.RuncLibContainerManager: java.lang.String getContainerIdFromOciJson(java.lang.String)>
<*> doesn\'t exist,warn,<org.apache.storm.container.oci.RuncLibContainerManager: java.lang.Long getContainerPid(java.lang.String)>
failed to read <*>,warn,<org.apache.storm.container.oci.RuncLibContainerManager: java.lang.Long getContainerPid(java.lang.String)>
Can\'t get group IDs of the user <*>,error,<org.apache.storm.container.docker.DockerManager: java.lang.String[] getGroupIdInfo(java.lang.String)>
