Log,LoggingLevel,Method
<*> = <*> ms,info,<org.apache.zookeeper.server.ZooKeeperServer: void setFlushDelay(long)>
Ack zxid: x<*>,trace,"<org.apache.zookeeper.server.quorum.Leader: void processAck(long,long,java.net.SocketAddress)>"
outstanding proposal: x<*>,trace,"<org.apache.zookeeper.server.quorum.Leader: void processAck(long,long,java.net.SocketAddress)>"
outstanding proposals all,trace,"<org.apache.zookeeper.server.quorum.Leader: void processAck(long,long,java.net.SocketAddress)>"
outstanding is ,debug,"<org.apache.zookeeper.server.quorum.Leader: void processAck(long,long,java.net.SocketAddress)>"
"proposal has already been committed, pzxid: x<*> zxid: x<*>",debug,"<org.apache.zookeeper.server.quorum.Leader: void processAck(long,long,java.net.SocketAddress)>"
Trying to commit future proposal: zxid x<*> from <*>,warn,"<org.apache.zookeeper.server.quorum.Leader: void processAck(long,long,java.net.SocketAddress)>"
Error while closing server socket.,error,<org.apache.zookeeper.server.NIOServerCnxnFactory: void tryClose(java.nio.channels.ServerSocketChannel)>
ZK Server started,info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl$3: void serverStarted()>
"Too many connections , <*>,  - max is , <*>, ",error,<org.apache.zookeeper.server.ServerCnxnFactory: boolean limitTotalNumberOfCnxns()>
"Committing , <*>,  without seeing txn, ",warn,<org.apache.zookeeper.server.quorum.FollowerZooKeeperServer: void commit(long)>
"Committing zxid x, <*>,  but next pending txn x, <*>, ",error,<org.apache.zookeeper.server.quorum.FollowerZooKeeperServer: void commit(long)>
queueEvent() called: <*>,info,<org.apache.zookeeper.ZooKeeperTestable: void queueEvent(org.apache.zookeeper.WatchedEvent)>
Unable to access socket output stream,error,"<org.apache.zookeeper.server.quorum.QuorumCnxManager$SendWorker: void <init>(org.apache.zookeeper.server.quorum.QuorumCnxManager,java.net.Socket,java.lang.Long)>"
Address of remote peer: <*>,debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager$SendWorker: void <init>(org.apache.zookeeper.server.quorum.QuorumCnxManager,java.net.Socket,java.lang.Long)>"
"loginContext name (JAAS file section header) was null. Please check your java.security.login.auth.config (=, <*>, ) and your , <*>, ",<init>,<org.apache.zookeeper.Login: javax.security.auth.login.LoginContext login(java.lang.String)>
<*> successfully logged in.,info,<org.apache.zookeeper.Login: javax.security.auth.login.LoginContext login(java.lang.String)>
Failed to register with JMX,warn,<org.apache.zookeeper.server.quorum.QuorumPeer: void updateRemotePeerMXBeans(java.util.Map)>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.QuorumPeer: void updateRemotePeerMXBeans(java.util.Map)>
Exception while shutting down acceptor.,warn,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor$LearnerCnxAcceptorHandler: void acceptConnections()>
"Error closing socket: , socket, ",warn,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor$LearnerCnxAcceptorHandler: void acceptConnections()>
Exception while connecting to quorum learner,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor$LearnerCnxAcceptorHandler: void acceptConnections()>
"Error closing socket: , socket, ",warn,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor$LearnerCnxAcceptorHandler: void acceptConnections()>
"Error closing socket: , socket, ",warn,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor$LearnerCnxAcceptorHandler: void acceptConnections()>
Unexpected interruption,warn,<org.apache.zookeeper.server.quorum.LearnerHandler$1: void run()>
Read/write client got connected to read-only server,error,"<org.apache.zookeeper.ClientCnxn$SendThread: void onConnected(int,long,byte,boolean)>"
"Session establishment complete on server <*>, session id = x<*>, negotiated timeout = <*><*>",info,"<org.apache.zookeeper.ClientCnxn$SendThread: void onConnected(int,long,byte,boolean)>"
exception during session close,warn,"<org.apache.zookeeper.server.ServerCnxnFactory: boolean closeSession(long,org.apache.zookeeper.server.ServerCnxn$DisconnectReason)>"
Peer state changed: <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setZabState(org.apache.zookeeper.server.quorum.QuorumPeer$ZabState)>
SSL handler added for channel: <*>,info,<org.apache.zookeeper.ClientCnxnSocketNetty$ZKClientPipelineFactory: void initSSL(io.netty.channel.ChannelPipeline)>
Shutting down purge task.,info,<org.apache.zookeeper.server.DatadirCleanupManager: void shutdown()>
Purge task not started. Ignoring shutdown!,warn,<org.apache.zookeeper.server.DatadirCleanupManager: void shutdown()>
